Term,Artist,Song,Album,Release Date
medium_term,Gary Clark Jr.,When My Train Pulls In,Blak and Blu (Deluxe Edition),2012-10-22
medium_term,My Chemical Romance,Welcome to the Black Parade,The Black Parade,2006-10-23
medium_term,The Backseat Lovers,Maple Syrup,When We Were Friends,2019-01-27
medium_term,John Mayer,Why You No Love Me,Sob Rock,2021-07-16
medium_term,Halsey,Bad At Love,hopeless fountain kingdom (Deluxe),2017-06-02
medium_term,The Kid LAROI,WITHOUT YOU,F*CK LOVE 3+: OVER YOU,2021-07-27
medium_term,Arctic Monkeys,R U Mine?,AM,2013-09-09
medium_term,Miley Cyrus,Midnight Sky,Plastic Hearts,2020-11-27
medium_term,Paramore,That's What You Get,Riot!,2007-06-11
medium_term,John Mayer,Dreaming with a Broken Heart,Continuum,2006-09-11
medium_term,Miley Cyrus,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),Plastic Hearts,2020-11-27
medium_term,Olivia Rodrigo,the grudge,GUTS,2023-09-08
medium_term,Ashe,Till Forever Falls Apart,Ashlyn,2021-05-07
medium_term,Ghost Atlas,Vertigo,"All Is in Sync, and There's Nothing Left to Sing About",2017-11-17
medium_term,James Arthur,Just Us,Just Us,2023-10-06
medium_term,Tiësto,10:35,DRIVE,2023-04-21
medium_term,John Mayer,Shouldn't Matter but It Does,Sob Rock,2021-07-16
medium_term,Billie Eilish,Getting Older,Happier Than Ever,2021-07-30
medium_term,Gary Clark Jr.,Grinder,The Story of Sonny Boy Slim,2015-09-11
medium_term,NF,Let You Down,Perception,2017-10-06
medium_term,All Time Low,Break Your Little Heart,Nothing Personal (Deluxe Version),2009-07-07
medium_term,Billie Eilish,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
medium_term,John Mayer,The Heart of Life,Continuum,2006-09-11
medium_term,Conan Gray,Telepath,Telepath,2021-10-29
medium_term,The xx,Intro,xx,2009-08-18
medium_term,The Agonist,Take Me to Church,Five,2016-09-30
medium_term,Billie Eilish,GOLDWING,Happier Than Ever,2021-07-30
medium_term,John Mayer,I'm Gonna Find Another You,Continuum,2006-09-11
medium_term,Mariah Carey,All I Want for Christmas Is You,Merry Christmas,1994-10-28
medium_term,Billie Eilish,my future,my future,2020-07-30
medium_term,Sabrina Carpenter,is it new years yet?,fruitcake,2023-11-17
medium_term,Billie Eilish,Getting Older,Happier Than Ever,2021-07-30
medium_term,Pierce The Veil,Pass The Nirvana,The Jaws Of Life,2023-02-10
medium_term,Every Avenue,Tell Me I'm A Wreck,Picture Perfect,2009-11-03
medium_term,Gracie Abrams,Feels Like,This Is What It Feels Like,2021-11-12
medium_term,Catfish and the Bottlemen,Encore,The Balance,2019-04-26
medium_term,My Chemical Romance,House of Wolves,The Black Parade,2006-10-23
medium_term,Gary Clark Jr.,The Guitar Man,This Land,2019-02-22
medium_term,Eagles,Tequila Sunrise - 2013 Remaster,Desperado (2013 Remaster),1973-04-17
medium_term,Miley Cyrus,Butterfly Fly Away,Hannah Montana The Movie,2009-01-01
medium_term,Taylor Swift,I Did Something Bad,reputation,2017-11-10
medium_term,Miley Cyrus,Adore You,Bangerz (Deluxe Version),2013-10-04
medium_term,Niall Horan,Heaven,The Show,2023-06-09
medium_term,5 Seconds of Summer,She's Kinda Hot,Sounds Good Feels Good (Deluxe),2015-10-23
medium_term,Adele,Hello,25,2015-11-20
medium_term,Sabrina Carpenter,white xmas,fruitcake,2023-11-17
medium_term,Circa Survive,Get Out,Blue Sky Noise (Deluxe - Remastered),2018-08-10
medium_term,Mayday Parade,Somebody That I Used To Know,"Punk Goes Pop, Vol. 5",2012-11-06
medium_term,Doja Cat,Attention,Attention,2023-06-16
medium_term,5 Seconds of Summer,Caramel,5SOS5,2022-09-23
medium_term,Billie Eilish,ocean eyes,dont smile at me,2017-12-22
medium_term,Phoebe Bridgers,Kyoto,Punisher,2020-06-18
medium_term,Miley Cyrus,Never Be Me,Plastic Hearts,2020-11-27
medium_term,Gary Clark Jr.,Bright Lights,Blak and Blu (Deluxe Edition),2012-10-22
